system:index,air2m_temp_K,measured_at,skin_temp_K,.geo
0,307.6759490966797,2022-08-24T04:05:00,316.35816955566406,"{""type"":""Point"",""coordinates"":[121.5327,24.9752]}"
1,291.42291259765625,2024-03-14T15:58:00,291.89910888671875,"{""type"":""Point"",""coordinates"":[-76.5172,37.22520000000001]}"
2,286.31614685058594,2022-03-22T08:45:00,290.8278045654297,"{""type"":""Point"",""coordinates"":[35.32209999999999,32.6839]}"
3,281.1095275878906,2024-11-12T16:03:00,282.52210998535156,"{""type"":""Point"",""coordinates"":[-83.66333,41.71117000000001]}"
4,283.8481903076172,2022-03-16T12:11:00,287.3820037841797,"{""type"":""Point"",""coordinates"":[35.26907,32.930049999999994]}"
5,302.0990295410156,2022-12-29T16:37:00,316.0657958984375,"{""type"":""Point"",""coordinates"":[-71.071667,-39.95725000000001]}"
6,293.7667541503906,2024-04-30T19:51:00,308.3807067871094,"{""type"":""Point"",""coordinates"":[-117.089302,32.898732]}"
7,308.09068298339844,2022-09-28T08:50:00,326.82952880859375,"{""type"":""Point"",""coordinates"":[56.37,23.380000000000006]}"
8,290.24195861816406,2024-03-20T11:30:00,296.6348419189453,"{""type"":""Point"",""coordinates"":[14.4757,35.909499999999994]}"
9,293.9534149169922,2024-09-30T15:39:00,295.1235046386719,"{""type"":""Point"",""coordinates"":[-82.84869,40.95505]}"
10,300.4513854980469,2022-07-12T19:25:00,302.9153594970703,"{""type"":""Point"",""coordinates"":[-88.19589,40.10856]}"
11,303.845703125,2024-09-20T18:54:00,309.2168884277344,"{""type"":""Point"",""coordinates"":[-83.62744,41.56102]}"
12,294.5868835449219,2021-10-07T21:09:00,293.9552307128906,"{""type"":""Point"",""coordinates"":[-83.66503,41.65314]}"
13,292.9772644042969,2021-08-24T08:59:00,292.58319091796875,"{""type"":""Point"",""coordinates"":[-39.4149,-7.236300000000002]}"
14,294.07618713378906,2024-05-18T20:06:00,310.4920654296875,"{""type"":""Point"",""coordinates"":[-117.08908,32.89832]}"
15,305.48362731933594,2024-09-17T19:40:00,307.33042907714844,"{""type"":""Point"",""coordinates"":[-97.98620000000001,30.318799999999996]}"
16,300.0801239013672,2021-09-17T15:54:00,300.8510437011719,"{""type"":""Point"",""coordinates"":[-81.94186,26.599899999999998]}"
17,291.4547424316406,2025-03-05T10:18:00,306.02076721191406,"{""type"":""Point"",""coordinates"":[35.04130000000001,31.074100000000005]}"
18,293.9534149169922,2024-09-30T15:37:00,295.1235046386719,"{""type"":""Point"",""coordinates"":[-82.84864,40.95501]}"
19,291.4382019042969,2023-09-25T17:58:00,292.998046875,"{""type"":""Point"",""coordinates"":[-83.612991,41.660884]}"
20,307.8619079589844,2022-06-15T18:09:00,310.2548370361328,"{""type"":""Point"",""coordinates"":[-80.9203,34.2143]}"
21,298.6696319580078,2022-05-10T09:54:00,305.63734436035156,"{""type"":""Point"",""coordinates"":[35.322,32.684200000000004]}"
22,295.09716796875,2021-10-04T21:17:00,296.03758239746094,"{""type"":""Point"",""coordinates"":[-83.6222,41.655]}"
23,286.4936828613281,2023-11-16T15:33:00,287.0419006347656,"{""type"":""Point"",""coordinates"":[-83.288091,41.474099]}"
24,293.9861755371094,2024-04-09T02:02:00,292.9500427246094,"{""type"":""Point"",""coordinates"":[-81.942999,26.602809]}"
25,304.5116424560547,2024-11-12T08:00:00,319.3979034423828,"{""type"":""Point"",""coordinates"":[58.202477,23.631702000000004]}"
26,289.00318908691406,2022-10-14T17:09:00,290.1134948730469,"{""type"":""Point"",""coordinates"":[-83.10596,41.476760000000006]}"
27,290.2444152832031,2023-01-30T09:13:00,293.62767028808594,"{""type"":""Point"",""coordinates"":[34.8065,32.085]}"
28,296.3299865722656,2023-04-24T09:11:00,303.2339782714844,"{""type"":""Point"",""coordinates"":[34.90005,32.19158]}"
29,291.4382019042969,2023-09-25T17:39:00,292.998046875,"{""type"":""Point"",""coordinates"":[-83.61327,41.66015]}"
30,294.69642639160156,2023-12-15T14:08:00,294.1456756591797,"{""type"":""Point"",""coordinates"":[-81.94286000000001,26.601930000000003]}"
31,312.5738525390625,2023-07-13T19:18:00,333.1591033935547,"{""type"":""Point"",""coordinates"":[-110.9732,32.2375]}"
32,312.69659423828125,2024-06-30T19:42:00,334.28814697265625,"{""type"":""Point"",""coordinates"":[-112.24707,33.58489]}"
33,297.9657287597656,2022-07-18T18:56:00,299.9121551513672,"{""type"":""Point"",""coordinates"":[-82.5196,40.75639999999999]}"
34,,2022-05-09T10:47:00,,"{""type"":""Point"",""coordinates"":[34.4621,32.0291]}"
35,,2025-03-21T10:32:00,,"{""type"":""Point"",""coordinates"":[39.66955,-4.0957]}"
36,308.6066131591797,2023-09-18T05:08:00,311.84820556640625,"{""type"":""Point"",""coordinates"":[48.095079,29.188136]}"
37,298.6696319580078,2022-05-10T09:08:00,305.63734436035156,"{""type"":""Point"",""coordinates"":[35.3219,32.6841]}"
38,303.8728332519531,2023-08-02T20:45:00,308.61614990234375,"{""type"":""Point"",""coordinates"":[-84.43511,33.72999]}"
39,308.3445129394531,2024-10-06T08:05:00,327.49388122558594,"{""type"":""Point"",""coordinates"":[57.272418,22.946771]}"
40,310.4579162597656,2022-07-18T18:56:00,321.8379364013672,"{""type"":""Point"",""coordinates"":[-97.7355,30.3952]}"
41,291.35943603515625,2022-03-07T09:46:00,297.994384765625,"{""type"":""Point"",""coordinates"":[34.7596,31.35450000000001]}"
42,306.5054931640625,2024-06-23T18:45:00,307.3202667236328,"{""type"":""Point"",""coordinates"":[-93.13447,36.25997000000001]}"
43,298.47698974609375,2022-09-18T07:10:00,298.76280212402344,"{""type"":""Point"",""coordinates"":[3.2708000000000004,6.6496]}"
44,290.26658630371094,2025-01-22T10:50:00,299.6452941894531,"{""type"":""Point"",""coordinates"":[35.0414,31.074300000000008]}"
45,292.9900360107422,2024-09-24T15:21:00,293.24253845214844,"{""type"":""Point"",""coordinates"":[-82.84807,40.95204]}"
46,297.50311279296875,2023-02-27T10:10:00,300.9014129638672,"{""type"":""Point"",""coordinates"":[35.3134,32.6813]}"
47,296.1718444824219,2022-04-28T09:54:00,305.0170440673828,"{""type"":""Point"",""coordinates"":[34.77,32.0483]}"
48,307.42576599121094,2024-11-03T08:29:00,324.96575927734375,"{""type"":""Point"",""coordinates"":[56.47345000000001,23.162189999999995]}"
49,297.67649841308594,2023-05-02T09:18:00,312.3536071777344,"{""type"":""Point"",""coordinates"":[34.97357900000001,32.115669]}"
50,283.8481903076172,2022-03-16T12:10:00,287.3820037841797,"{""type"":""Point"",""coordinates"":[35.27177,32.92975]}"
51,301.78228759765625,2022-09-14T11:26:00,305.4084014892578,"{""type"":""Point"",""coordinates"":[3.3188999999999997,6.637199999999998]}"
52,305.97047424316406,2022-05-03T09:16:00,313.17071533203125,"{""type"":""Point"",""coordinates"":[34.769800000000004,32.0483]}"
53,298.6696319580078,2022-05-10T09:53:00,305.63734436035156,"{""type"":""Point"",""coordinates"":[35.322,32.6841]}"
54,,2025-03-18T13:13:00,,"{""type"":""Point"",""coordinates"":[0.191118,5.647915000000001]}"
55,,2023-06-23T04:30:00,,"{""type"":""Point"",""coordinates"":[121.76225399999998,24.681796]}"
56,283.60292053222656,2022-03-15T10:02:00,288.9538116455078,"{""type"":""Point"",""coordinates"":[35.32197,32.68415000000001]}"
57,302.3080596923828,2024-09-06T17:49:00,304.0627899169922,"{""type"":""Point"",""coordinates"":[-76.6329,7.889899999999998]}"
58,288.73114013671875,2021-11-06T16:25:00,291.56939697265625,"{""type"":""Point"",""coordinates"":[-98.7153,29.779700000000002]}"
59,307.8619079589844,2022-06-15T18:06:00,310.2548370361328,"{""type"":""Point"",""coordinates"":[-80.9204,34.2143]}"
60,307.41722106933594,2022-06-16T18:17:00,310.4364471435547,"{""type"":""Point"",""coordinates"":[-80.9191,34.214600000000004]}"
61,299.2050323486328,2023-08-22T18:10:00,303.6688232421875,"{""type"":""Point"",""coordinates"":[-84.5566,41.4685]}"
62,284.62738037109375,2023-02-09T11:01:00,293.451171875,"{""type"":""Point"",""coordinates"":[35.042100000000005,31.074600000000004]}"
63,303.4756164550781,2022-07-19T18:55:00,306.2518310546875,"{""type"":""Point"",""coordinates"":[-83.58474,41.612230000000004]}"
64,295.9656677246094,2024-04-08T18:03:00,296.64251708984375,"{""type"":""Point"",""coordinates"":[-88.81029,33.46377]}"
65,283.3461608886719,2023-02-08T06:31:00,282.4980010986328,"{""type"":""Point"",""coordinates"":[35.0774,32.5052]}"
66,303.8185272216797,2024-07-17T15:31:00,308.20628356933594,"{""type"":""Point"",""coordinates"":[-84.31421,33.59402]}"
67,295.9014892578125,2023-10-26T12:35:00,294.7537384033203,"{""type"":""Point"",""coordinates"":[-81.94282,26.601844]}"
68,283.8481903076172,2022-03-16T12:10:00,287.3820037841797,"{""type"":""Point"",""coordinates"":[35.27349,32.9275]}"
69,283.8481903076172,2022-03-16T12:10:00,287.3820037841797,"{""type"":""Point"",""coordinates"":[35.27190000000001,32.9295]}"
70,283.8481903076172,2022-03-16T12:10:00,287.3820037841797,"{""type"":""Point"",""coordinates"":[35.26908,32.930049999999994]}"
71,,2024-06-21T04:36:00,,"{""type"":""Point"",""coordinates"":[118.313914,24.435467]}"
72,298.11659240722656,2024-08-25T10:38:00,305.81117248535156,"{""type"":""Point"",""coordinates"":[22.497501,40.09676900000001]}"
73,296.4310760498047,2022-05-02T08:45:00,302.7645568847656,"{""type"":""Point"",""coordinates"":[35.3334,33.0143]}"
74,304.0550079345703,2024-09-20T19:13:00,308.42254638671875,"{""type"":""Point"",""coordinates"":[-83.62881,41.56257]}"
75,297.1867980957031,2022-10-23T18:19:00,299.7924346923828,"{""type"":""Point"",""coordinates"":[-83.612968,41.660388000000005]}"
